Hôm nay tôi bắt đầu ghi âm cho dự án tốt nghiệp của mình.	57
Bạn có thể nghe rõ giọng nói của tôi không?	43
Trời sáng nay khá mát mẻ và dễ chịu.	36
Tôi đang thử nghiệm hệ thống chuyển văn bản thành giọng nói.	60
Xin chào, rất vui được gặp bạn hôm nay.	39
Bạn đã ăn sáng chưa?	20
Nhiệt độ hôm nay là 28 độ c.	28
Hôm nay là ngày 15 tháng 3 năm 2026.	36
Tôi cần đọc câu này thật rõ ràng và chính xác.	46
Chúng ta hãy bắt đầu thử nghiệm ngay bây giờ.	45
Bạn nghĩ sao về chất lượng âm thanh này?	40
Tôi sẽ đọc một đoạn văn ngắn để kiểm tra.	41
Micro đã được kết nối thành công.	33
Tôi đang ngồi trong một căn phòng yên tĩnh.	43
Âm thanh cần được ghi lại một cách sạch sẽ.	43
Bạn có thể tăng âm lượng lên một chút không?	44
Tôi sẽ đọc chậm lại để đảm bảo độ rõ ràng.	42
Hệ thống này có thể xử lý tiếng việt khá tốt.	45
Tôi hy vọng kết quả sẽ khả quan.	32
Chúng ta sẽ tiếp tục với câu tiếp theo.	39
Bạn đang làm gì vào lúc này?	28
Xin vui lòng đọc lại câu vừa rồi.	33
Tôi cần kiểm tra lại dữ liệu trước khi huấn luyện.	50
Đây là một ví dụ về câu trần thuật.	35
Bạn có thể đặt câu hỏi cho hệ thống không?	42
Tôi sẽ thử đọc với giọng nhanh hơn một chút.	44
Câu này được dùng để kiểm tra độ dài.	37
Chúng ta cần nhiều dữ liệu hơn để huấn luyện.	45
Bạn đã sẵn sàng chưa?	21
Tôi đang thử nghiệm các kiểu ngữ điệu khác nhau.	48
Hôm nay trời có thể sẽ mưa vào buổi chiều.	42
Xin hãy giữ im lặng trong lúc ghi âm.	37
Tôi cần nghỉ một chút trước khi tiếp tục.	41
Đây là một câu cảm thán thật tuyệt vời!	39
Bạn có thấy âm thanh bị nhiễu không?	36
Tôi sẽ đọc lại câu này thêm một lần nữa.	40
Hãy đảm bảo rằng bạn phát âm đúng từng từ.	42
Chúng ta sẽ hoàn thành bài ghi âm hôm nay.	42
Tôi đang kiểm tra lại file ghi âm.	34
Bạn có thể gửi file cho tôi sau không?	38
Câu này chứa số 12345 để kiểm tra.	34
Hôm nay là thứ hai đầu tuần.	28
Tôi đang học cách cải thiện giọng đọc của mình.	47
Bạn đã từng làm việc với tts chưa?	34
Đây là một câu hỏi đơn giản.	28
Tôi cần luyện tập thêm mỗi ngày.	32
Chúng ta hãy tiếp tục với phần tiếp theo.	41
Bạn có thể nghe thấy tiếng ồn nền không?	40
Tôi sẽ thử đọc với giọng trầm hơn.	34
Hệ thống đang xử lý dữ liệu.	28
Bạn có thể đợi một chút được không?	35
Tôi đang điều chỉnh lại tốc độ đọc.	35
Câu này dùng để kiểm tra dấu câu.	33
Bạn có thể đọc lại câu này không?	33
Tôi sẽ đọc nhanh hơn trong câu tiếp theo.	41
Chúng ta cần đảm bảo chất lượng âm thanh tốt.	45
Bạn đã hoàn thành bài tập chưa?	31
Tôi đang chuẩn bị dữ liệu cho mô hình.	38
Hãy giữ khoảng cách ổn định với micro.	38
Câu này có dấu hỏi đúng không?	30
Bạn có thể nói to hơn một chút không?	37
Tôi sẽ đọc lại đoạn này thật chậm.	34
Chúng ta đang tiến gần đến mục tiêu.	36
Bạn có cảm thấy mệt không?	26
Tôi cần nghỉ ngơi một lát.	26
Hãy tiếp tục cố gắng nhé!	25
Câu này khá ngắn.	17
Đây là một câu dài hơn để kiểm tra hệ thống hoạt động như thế nào.	66
Bạn có thể phân biệt các âm tiết không?	39
Tôi đang thử nghiệm giọng đọc tự nhiên.	39
Chúng ta cần ghi âm thêm nhiều câu nữa.	39
Bạn đã sẵn sàng cho phần tiếp theo chưa?	40
Tôi sẽ đọc với giọng vui vẻ hơn.	32
Hệ thống này hoạt động khá ổn định.	35
Bạn có thể nghe rõ từng từ không?	33
Tôi đang cố gắng giữ nhịp đều khi đọc.	38
Câu này dùng để kiểm tra độ chính xác.	38
Bạn có thể lặp lại câu vừa rồi không?	37
Tôi sẽ đọc với tốc độ bình thường.	34
Chúng ta sẽ dừng lại sau vài phút nữa.	38
Bạn có thể ghi chú lại lỗi không?	33
Tôi đang xem lại kết quả thu âm.	32
Hãy đảm bảo rằng không có tiếng ồn.	35
Câu này giúp kiểm tra ngữ điệu.	31
Bạn có thể nói chậm lại không?	30
Tôi sẽ thử đọc với giọng cao hơn.	33
Chúng ta cần thêm dữ liệu đa dạng.	34
Bạn có thể giúp tôi kiểm tra không?	35
Tôi đang ghi âm trong phòng kín.	32
Câu này khá đơn giản để đọc.	28
Bạn có thể nghe thấy tiếng quạt không?	38
Tôi sẽ đọc lại từ đầu.	22
Chúng ta sắp hoàn thành rồi.	28
Bạn có cảm thấy hài lòng không?	31
Tôi đang thử nghiệm lần cuối.	29
Hãy kiểm tra lại toàn bộ dữ liệu.	33
Hôm qua tôi đã ghi âm hơn 200 câu.	34
Bạn có thể kiểm tra lại chất lượng file không?	46
Thời gian hiện tại là 9 giờ 30 phút sáng.	41
Tôi đang thử đọc một đoạn hội thoại ngắn.	41
Xin chào bạn, hôm nay bạn thế nào?	34
Tôi cảm thấy khá thoải mái khi đọc những câu đơn giản.	54
Bạn đã từng thử train mô hình tts chưa?	39
Đây là một ví dụ về câu chứa số 2026.	37
Hôm nay là ngày 28 tháng 3 năm 2026.	36
Tôi cần kiểm tra lại âm lượng của micro.	40
Bạn có thể giảm tiếng ồn xung quanh không?	42
Chúng ta sẽ thử một câu cảm thán nhé!	37
Thật tuyệt vời khi hệ thống hoạt động tốt!	42
Tôi đang đọc câu này với giọng bình thường.	43
Bạn có nhận ra sự khác biệt không?	34
Tôi sẽ thử đọc nhanh hơn một chút nữa.	38
Hệ thống đang xử lý dữ liệu rất nhanh.	38
Bạn có thể đọc lại đoạn này giúp tôi không?	43
Tôi đang luyện tập để phát âm rõ hơn.	37
Đây là một câu khá dài nhằm kiểm tra độ ổn định của hệ thống khi xử lý văn bản.	79
Bạn có thể nghe thấy sự thay đổi trong ngữ điệu không?	54
Tôi sẽ đọc lại câu này với giọng vui vẻ.	40
Chúng ta cần thêm dữ liệu có dấu hỏi và dấu chấm than!	54
Bạn đã chuẩn bị xong cho buổi ghi âm chưa?	42
Tôi đang cố gắng không mắc lỗi khi đọc.	39
Hãy kiểm tra lại từng file sau khi ghi âm.	42
Câu này dùng để kiểm tra khả năng phát âm số 123.	49
Bạn có thể nói lại câu vừa rồi không?	37
Tôi sẽ đọc chậm lại để đảm bảo rõ ràng hơn.	43
Chúng ta hãy thử một câu có nhiều dấu câu, bạn nhé!	51
Bạn có thể giúp tôi kiểm tra dữ liệu không?	43
Tôi đang đọc trong môi trường khá yên tĩnh.	43
Hãy đảm bảo rằng âm thanh không bị méo.	39
Câu này có thể giúp cải thiện mô hình.	38
Bạn có thể đọc to hơn một chút được không?	42
Tôi sẽ thử đọc với giọng trầm hơn một lần nữa.	46
Chúng ta cần nhiều câu hỏi hơn trong dataset.	45
Bạn đã kiểm tra lại tất cả các file chưa?	41
Tôi đang thử nghiệm với nhiều kiểu giọng khác nhau.	51
Câu này giúp kiểm tra tốc độ đọc.	33
Bạn có thể nói nhanh hơn một chút không?	40
Tôi sẽ đọc câu này thật chậm để kiểm tra.	41
Chúng ta sẽ tiếp tục với các câu tiếp theo.	43
Bạn có thể lặp lại câu này ba lần không?	40
Tôi đang kiểm tra độ chính xác của dữ liệu.	43
Hãy giữ giọng đọc ổn định trong suốt quá trình.	47
Câu này có chứa ngày 01 tháng 01 năm 2025.	42
Bạn có thể nghe rõ từng âm tiết không?	38
Tôi sẽ thử đọc với giọng cao hơn một chút.	42
Chúng ta cần thêm các câu mang tính hội thoại.	46
Bạn có thể trả lời câu hỏi này không?	37
